title,artist,top genre,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
SICKO MODE,Travis Scott,rap,155,73,83,-4,12,45,313,1,22,88
HIGHEST IN THE ROOM,Travis Scott,rap,76,43,60,-9,21,6,176,5,3,88
I CAN'T STOP ME,TWICE,k-pop,150,88,66,-4,46,77,205,12,10,86
Mr. Right Now (feat. Drake),21 Savage,atl hip hop,172,67,65,-6,13,70,194,23,30,86
Lovesick Girls,BLACKPINK,k-pop,128,73,66,-5,12,46,193,1,6,86
How You Like That,BLACKPINK,k-pop,130,80,81,-4,6,36,181,4,8,85
Blueberry Eyes (feat. SUGA of BTS),MAX,dance pop,150,61,75,-7,13,41,172,45,10,84
20 Min,Lil Uzi Vert,melodic rap,123,75,77,-4,17,78,221,11,12,83
Intentions,Justin Bieber,canadian pop,148,55,81,-7,11,86,213,32,6,83
Pretty Savage,BLACKPINK,k-pop,152,58,70,-7,10,38,199,1,4,83
Mariposa,Peach Tree Rascals,alternative r&b,112,53,68,-6,36,42,210,62,3,83
夜に駆ける,YOASOBI,j-pop,130,87,67,-5,30,79,261,0,3,82
New Rules,Dua Lipa,dance pop,116,70,76,-6,15,61,209,0,7,81
Daylight,Joji,alternative r&b,164,75,53,-8,9,73,164,0,5,81
Can't Feel My Face,The Weeknd,canadian contemporary r&b,108,77,71,-6,11,58,214,11,4,79
All The Stars (with SZA),Kendrick Lamar,conscious hip hop,97,63,70,-5,9,55,232,6,6,79
Rich Nigga Shit (feat. Young Thug),21 Savage,atl hip hop,98,73,83,-6,11,62,190,35,10,79
Needed Me,Rihanna,barbadian pop,111,31,67,-8,8,30,192,11,24,79
The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,melodic rap,82,76,70,-4,11,70,222,62,5,78
Nice For What,Drake,canadian hip hop,93,91,59,-6,12,76,211,9,7,78
Leaked,Lil Tjay,brooklyn drill,97,62,51,-8,8,32,220,80,28,78
Often,The Weeknd,canadian contemporary r&b,134,63,57,-10,14,7,249,22,5,77
You Never Know,BLACKPINK,k-pop,72,48,39,-5,16,28,229,25,10,77
PLAYING WITH FIRE,BLACKPINK,k-pop,97,76,71,-5,14,67,197,4,9,76
Feel Special,TWICE,k-pop,129,96,71,-1,11,64,207,3,6,76
Love Me Harder,Ariana Grande,dance pop,99,71,47,-4,8,24,236,1,3,75
BLEACH,BROCKHAMPTON,boy band,156,66,60,-6,44,72,273,46,18,75
WAKE UP,Travis Scott,rap,149,65,74,-5,16,49,232,19,10,74
This Could Be Us,Rae Sremmurd,hip hop,143,69,73,-5,12,76,206,29,13,74
CAN'T GET OVER YOU (feat. Clams Casino),Joji,alternative r&b,130,32,90,-9,9,84,107,68,33,74
Liability,Lorde,art pop,76,23,59,-11,10,38,172,92,13,73
NIGHTRIDER,Arizona Zervas,pop rap,146,76,66,-5,10,86,156,9,5,72
달라달라 (DALLA DALLA),ITZY,k-pop girl group,125,85,79,-5,33,71,200,0,7,72
Almost Is Never Enough,Ariana Grande,dance pop,81,33,32,-7,10,33,328,83,4,72
Don't Know What To Do,BLACKPINK,k-pop,130,64,63,-4,14,41,201,10,5,70
Chemicals,SG Lewis,alternative r&b,114,85,62,-5,32,80,255,12,37,70
successful,Ariana Grande,dance pop,114,60,85,-5,11,74,227,11,4,69
Make A Wish (Birthday Song),NCT U,k-pop,101,80,73,-2,6,69,229,6,10,67
all my friends,21 Savage,atl hip hop,130,62,71,-5,12,21,212,17,4,67
Heebiejeebies - Bonus,Aminé,hip hop,107,50,77,-8,11,50,220,42,15,67
Some,Steve Lacy,afrofuturism,104,55,78,-6,10,63,118,1,3,66
I Didn't Realize How Empty My Bed Was Until You Left,Roderick Porter,emo rap,118,75,87,-9,14,33,171,30,16,66
"City Of Stars - From ""La La Land"" Soundtrack",Ryan Gosling,hollywood,112,12,49,-15,9,43,150,90,4,65
See U Later,BLACKPINK,k-pop,107,93,74,-4,58,57,199,4,11,65
City Of Stars,Ryan Gosling,hollywood,98,8,59,-19,9,20,111,95,5,62
Better - SG Lewis x Clairo,SG Lewis,alternative r&b,109,58,70,-10,9,48,194,5,4,62
Mad Stalkers,21 Savage,atl hip hop,135,37,90,-6,18,14,203,15,24,61
Planetarium,Justin Hurwitz,hollywood,129,14,25,-15,55,4,257,92,4,57
Landslide,Oh Wonder,electropop,81,42,62,-9,10,33,208,75,6,57
In My Feelings,Kehlani,pop,111,72,56,-5,13,56,220,3,15,56
Herman’s Habit,Justin Hurwitz,hollywood,124,59,59,-9,21,67,112,6,5,55
Summer Montage / Madeline,Justin Hurwitz,hollywood,108,50,60,-7,26,65,125,11,3,54
Sleeping On My Dreams,Jacob Collier,indie soul,111,52,77,-7,12,58,257,61,5,53
Holding Hands (feat. Elohim),Quinn XCII,indie pop rap,156,45,67,-10,12,40,225,46,11,52
World On Fire,Louis The Child,edm,75,26,71,-9,10,42,174,79,7,50
lines on our faces,HONNE,pop,84,41,54,-11,35,22,243,37,3,50
Gold Coast,88rising,asian american hip hop,130,65,58,-8,34,27,242,13,3,50
Roses,Mac Ayres,alternative r&b,80,38,60,-11,12,28,273,70,5,48
Blue,SG Lewis,alternative r&b,92,58,38,-8,9,44,257,29,23,48
HONDA,Friday Night Plans,japanese city pop,102,61,74,-8,10,76,240,3,4,46
I Just Want You to Know,Jeffrey Owens,chill r&b,112,35,50,-9,9,35,184,64,9,45
What It Is,Quality Control,hip hop,130,76,97,-6,21,70,148,18,24,44
In the Palm of Her Hand,Thiago,lo-fi chill,132,62,92,-12,7,96,135,28,12,34
Asian Glow,FLANNEL ALBERT,asian american hip hop,147,54,79,-8,10,74,199,52,7,28
That was one small step for you.,Friday Night Plans,japanese city pop,80,49,75,-9,19,49,195,17,5,27
Happy Birthday,Friday Night Plans,japanese city pop,110,69,81,-6,14,34,243,3,23,26
Don't make me rush to be fine.,Friday Night Plans,japanese city pop,80,48,55,-9,13,17,187,19,6,26